,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,months,hours,week_days,HI
67,4,0,1,1,5.74,7.575,69,8.9981,0,20,20,1,22,1,5.74
68,4,0,1,1,7.38,10.605,55,7.0015,1,11,12,1,23,1,7.38
69,4,0,1,1,6.56,9.09,55,7.0015,0,5,5,1,0,2,6.56
70,4,0,1,1,6.56,9.09,59,7.0015,0,2,2,1,1,2,6.56
71,4,0,1,1,5.74,7.575,63,8.9981,0,1,1,1,2,2,5.74
72,4,0,1,1,5.74,9.09,63,6.0032,0,2,2,1,4,2,5.74
73,4,0,1,1,4.92,7.575,68,7.0015,0,4,4,1,5,2,4.92
74,4,0,1,1,4.92,7.575,74,7.0015,0,36,36,1,6,2,4.92
75,4,0,1,1,4.92,7.575,74,8.9981,2,92,94,1,7,2,4.92
76,4,0,1,1,5.74,7.575,69,11.0014,2,177,179,1,8,2,5.74
77,4,0,1,1,6.56,7.575,64,15.0013,2,98,100,1,9,2,6.56
78,4,0,1,2,6.56,6.82,69,22.0028,5,37,42,1,10,2,6.56
79,4,0,1,1,9.02,10.605,51,19.9995,7,50,57,1,11,2,9.02
80,4,0,1,1,9.02,11.365,51,11.0014,12,66,78,1,12,2,9.02
81,4,0,1,1,9.84,11.365,56,12.998,18,79,97,1,13,2,9.84
82,4,0,1,1,10.66,12.88,52,15.0013,9,54,63,1,14,2,10.66
83,4,0,1,1,11.48,13.635,52,16.9979,17,48,65,1,15,2,11.48
84,4,0,1,1,12.3,14.395,49,16.9979,15,68,83,1,16,2,12.3
85,4,0,1,1,11.48,13.635,48,15.0013,10,202,212,1,17,2,11.48
86,4,0,1,1,10.66,12.88,48,12.998,3,179,182,1,18,2,10.66
87,4,0,1,1,9.84,12.88,48,7.0015,2,110,112,1,19,2,9.84
88,4,0,1,1,9.84,12.88,48,7.0015,1,53,54,1,20,2,9.84
89,4,0,1,1,9.02,13.635,64,0.0,0,48,48,1,21,2,9.02
90,4,0,1,1,9.02,12.88,64,6.0032,1,34,35,1,22,2,9.02
91,4,0,1,1,8.2,11.365,69,6.0032,2,9,11,1,23,2,8.2
92,4,0,1,1,8.2,12.88,64,0.0,0,6,6,1,0,3,8.2
93,4,0,1,1,6.56,9.85,74,6.0032,0,6,6,1,1,3,6.56
94,4,0,1,1,6.56,9.85,74,6.0032,0,2,2,1,2,3,6.56
95,4,0,1,1,9.84,11.365,48,15.0013,0,2,2,1,4,3,9.84
96,4,0,1,1,9.02,11.365,47,11.0014,0,3,3,1,5,3,9.02
97,4,0,1,1,8.2,9.85,47,15.0013,0,33,33,1,6,3,8.2
98,4,0,1,1,7.38,9.09,43,12.998,1,87,88,1,7,3,7.38
99,4,0,1,1,8.2,9.09,40,19.9995,3,192,195,1,8,3,8.2
100,4,0,1,1,9.02,9.85,37,22.0028,6,109,115,1,9,3,9.02
101,4,0,1,1,9.02,9.85,37,22.0028,4,53,57,1,10,3,9.02
102,4,0,1,1,10.66,11.365,33,22.0028,12,34,46,1,11,3,10.66
103,4,0,1,1,10.66,11.365,33,22.0028,5,74,79,1,12,3,10.66
104,4,0,1,1,11.48,12.88,30,19.9995,6,65,71,1,13,3,11.48
105,4,0,1,1,12.3,14.395,28,12.998,10,52,62,1,14,3,12.3
106,4,0,1,1,12.3,14.395,28,12.998,7,55,62,1,15,3,12.3
107,4,0,1,1,12.3,15.91,28,6.0032,4,85,89,1,16,3,12.3
108,4,0,1,1,9.84,11.365,38,12.998,4,186,190,1,17,3,9.84
109,4,0,1,1,9.84,12.12,38,8.9981,3,166,169,1,18,3,9.84
110,4,0,1,1,9.84,12.88,38,7.0015,5,127,132,1,19,3,9.84
111,4,0,1,1,9.02,11.365,47,11.0014,7,82,89,1,20,3,9.02
112,4,0,1,1,8.2,9.85,51,12.998,3,40,43,1,21,3,8.2
113,4,0,1,1,7.38,9.85,55,8.9981,1,41,42,1,22,3,7.38
114,4,0,1,1,8.2,12.88,47,0.0,1,18,19,1,23,3,8.2
115,4,0,1,1,7.38,12.12,55,0.0,0,11,11,1,0,4,7.38
116,4,0,1,1,6.56,11.365,64,0.0,0,4,4,1,1,4,6.56
117,4,0,1,1,6.56,11.365,64,0.0,0,2,2,1,2,4,6.56
118,4,0,1,2,6.56,9.85,64,6.0032,0,1,1,1,4,4,6.56
119,4,0,1,2,5.74,9.09,69,6.0032,0,4,4,1,5,4,5.74
120,4,0,1,2,5.74,8.335,63,7.0015,0,36,36,1,6,4,5.74
121,4,0,1,2,6.56,11.365,59,0.0,0,95,95,1,7,4,6.56
122,4,0,1,1,6.56,11.365,59,0.0,3,216,219,1,8,4,6.56
123,4,0,1,2,7.38,12.12,51,0.0,6,116,122,1,9,4,7.38
124,4,0,1,1,8.2,12.88,47,0.0,3,42,45,1,10,4,8.2
125,4,0,1,1,9.02,12.88,44,6.0032,2,57,59,1,11,4,9.02
126,4,0,1,1,10.66,14.395,35,0.0,6,78,84,1,12,4,10.66
127,4,0,1,1,10.66,13.635,35,7.0015,12,55,67,1,13,4,10.66
128,4,0,1,1,11.48,13.635,36,11.0014,11,59,70,1,14,4,11.48
129,4,0,1,1,11.48,13.635,36,0.0,8,54,62,1,15,4,11.48
130,4,0,1,1,10.66,12.88,38,11.0014,12,74,86,1,16,4,10.66
131,4,0,1,1,9.02,11.365,51,11.0014,9,163,172,1,17,4,9.02
132,4,0,1,1,9.02,11.365,51,8.9981,5,158,163,1,18,4,9.02
133,4,0,1,1,9.02,12.88,55,6.0032,3,109,112,1,19,4,9.02
134,4,0,1,1,8.2,10.605,51,11.0014,3,66,69,1,20,4,8.2
135,4,0,1,2,9.02,10.605,55,15.0013,0,48,48,1,21,4,9.02
136,4,0,1,2,9.02,10.605,51,19.0012,1,51,52,1,22,4,9.02
137,4,0,1,2,8.2,9.85,59,12.998,4,19,23,1,23,4,8.2
138,4,0,1,2,8.2,9.85,64,12.998,4,13,17,1,0,5,8.2
139,4,0,1,2,8.2,9.85,69,15.0013,2,5,7,1,1,5,8.2
140,4,0,1,2,8.2,9.85,69,15.0013,0,1,1,1,2,5,8.2
141,4,0,1,2,8.2,10.605,69,8.9981,0,1,1,1,4,5,8.2
142,4,0,1,3,9.02,13.635,55,0.0,0,5,5,1,5,5,9.02
143,4,0,1,2,8.2,12.88,69,0.0,8,26,34,1,6,5,8.2
144,4,0,1,1,8.2,10.605,69,8.9981,8,76,84,1,7,5,8.2
145,4,0,1,1,8.2,9.85,51,16.9979,20,190,210,1,8,5,8.2
146,4,0,1,1,8.2,9.09,47,19.9995,9,125,134,1,9,5,8.2
147,4,0,1,1,9.02,9.85,37,22.0028,16,47,63,1,10,5,9.02
148,4,0,1,2,8.2,9.85,40,15.0013,19,48,67,1,11,5,8.2
149,4,0,1,2,8.2,9.85,37,16.9979,9,50,59,1,12,5,8.2
150,4,0,1,2,8.2,9.09,37,19.0012,9,64,73,1,13,5,8.2
151,4,0,1,2,8.2,9.85,40,16.9979,7,43,50,1,14,5,8.2
152,4,0,1,2,8.2,10.605,37,11.0014,9,63,72,1,15,5,8.2
153,4,0,1,2,8.2,10.605,37,11.0014,5,82,87,1,16,5,8.2
154,4,0,1,2,8.2,12.88,37,0.0,9,178,187,1,17,5,8.2
155,4,0,1,1,8.2,11.365,40,6.0032,7,116,123,1,18,5,8.2
156,4,0,1,1,6.56,9.85,55,6.0032,3,92,95,1,19,5,6.56
157,4,0,1,1,7.38,10.605,47,7.0015,1,50,51,1,20,5,7.38
158,4,0,1,1,7.38,9.85,47,8.9981,0,39,39,1,21,5,7.38
159,4,0,1,2,7.38,9.85,43,11.0014,2,34,36,1,22,5,7.38
160,4,0,1,2,7.38,9.85,51,11.0014,1,14,15,1,23,5,7.38
161,4,0,0,2,7.38,9.85,51,11.0014,1,24,25,1,0,6,7.38
162,4,0,0,2,7.38,10.605,55,6.0032,1,15,16,1,1,6,7.38
163,4,0,0,2,7.38,12.12,55,0.0,3,13,16,1,2,6,7.38
164,4,0,0,3,7.38,9.85,55,11.0014,0,7,7,1,3,6,7.38
165,4,0,0,3,7.38,9.85,55,11.0014,0,1,1,1,4,6,7.38
166,4,0,0,2,6.56,8.335,74,11.0014,0,5,5,1,5,6,6.56
167,4,0,0,2,6.56,8.335,74,11.0014,0,2,2,1,6,6,6.56
168,4,0,0,2,6.56,9.09,74,7.0015,1,8,9,1,7,6,6.56
169,4,0,0,3,6.56,9.09,93,7.0015,0,15,15,1,8,6,6.56
170,4,0,0,3,6.56,9.09,93,7.0015,0,20,20,1,9,6,6.56
171,4,0,0,2,7.38,9.85,80,11.0014,5,56,61,1,10,6,7.38
172,4,0,0,2,8.2,9.09,69,26.0027,2,60,62,1,11,6,8.2
173,4,0,0,2,8.2,9.09,59,23.9994,8,90,98,1,12,6,8.2
174,4,0,0,1,8.2,9.09,44,22.0028,7,95,102,1,13,6,8.2
175,4,0,0,1,8.2,8.335,32,32.9975,12,83,95,1,14,6,8.2
176,4,0,0,1,8.2,8.335,32,30.0026,5,69,74,1,15,6,8.2
177,4,0,0,1,7.38,6.82,29,30.0026,8,68,76,1,16,6,7.38
178,4,0,0,1,6.56,6.06,37,36.9974,5,64,69,1,17,6,6.56
179,4,0,0,1,5.74,6.06,39,19.9995,3,52,55,1,18,6,5.74
180,4,0,0,1,5.74,6.06,36,16.9979,4,26,30,1,19,6,5.74
181,4,0,0,1,4.92,6.06,36,16.9979,0,28,28,1,20,6,4.92
182,4,0,0,1,4.92,5.305,39,23.9994,2,35,37,1,21,6,4.92
183,4,0,0,1,4.92,5.305,36,26.0027,1,33,34,1,22,6,4.92
184,4,0,0,1,4.1,3.03,39,30.0026,0,22,22,1,23,6,4.1
185,4,0,0,1,4.1,3.79,42,26.0027,1,24,25,1,0,7,4.1
186,4,0,0,1,4.1,3.03,42,31.0009,0,12,12,1,1,7,4.1
187,4,0,0,1,4.1,3.03,46,31.0009,0,11,11,1,2,7,4.1
188,4,0,0,1,4.1,3.79,46,27.9993,0,4,4,1,3,7,4.1
189,4,0,0,1,3.28,4.545,53,12.998,0,1,1,1,4,7,3.28
190,4,0,0,1,3.28,4.545,53,12.998,0,1,1,1,5,7,3.28
191,4,0,0,1,4.1,4.545,49,19.0012,0,1,1,1,6,7,4.1
192,4,0,0,1,3.28,4.545,53,12.998,1,5,6,1,7,7,3.28
193,4,0,0,1,4.1,4.545,49,19.0012,0,10,10,1,8,7,4.1
194,4,0,0,1,4.92,3.79,46,35.0008,0,19,19,1,9,7,4.92
195,4,0,0,1,5.74,5.305,43,26.0027,0,49,49,1,10,7,5.74
196,4,0,0,1,6.56,6.06,40,35.0008,2,47,49,1,11,7,6.56
197,4,0,0,1,7.38,6.82,37,30.0026,4,79,83,1,12,7,7.38
198,4,0,0,1,8.2,8.335,34,30.0026,6,69,75,1,13,7,8.2
199,4,0,0,1,9.02,9.09,32,31.0009,8,64,72,1,14,7,9.02
200,4,0,0,1,9.02,9.85,35,23.9994,5,77,82,1,15,7,9.02
201,4,0,0,1,8.2,8.335,34,30.0026,13,79,92,1,16,7,8.2
202,4,0,0,1,7.38,7.575,37,26.0027,3,59,62,1,17,7,7.38
203,4,0,0,1,6.56,6.82,40,22.0028,4,44,48,1,18,7,6.56
204,4,0,0,1,6.56,6.82,43,22.0028,1,40,41,1,19,7,6.56
205,4,0,0,1,5.74,6.06,46,16.9979,0,38,38,1,20,7,5.74
206,4,0,0,1,5.74,5.305,46,27.9993,1,19,20,1,21,7,5.74
207,4,0,0,1,5.74,6.06,46,19.9995,5,10,15,1,22,7,5.74
208,4,0,0,1,4.92,6.82,50,12.998,0,6,6,1,23,7,4.92
209,4,0,1,1,4.92,6.06,50,19.0012,2,3,5,1,0,1,4.92
210,4,0,1,1,4.92,6.06,50,19.0012,1,0,1,1,1,1,4.92
211,4,0,1,1,4.92,6.06,50,15.0013,0,3,3,1,2,1,4.92
212,4,0,1,1,4.92,6.06,50,15.0013,0,1,1,1,3,1,4.92
213,4,0,1,1,4.1,6.06,54,8.9981,1,2,3,1,4,1,4.1
214,4,0,1,1,4.1,5.305,54,16.9979,0,3,3,1,5,1,4.1
215,4,0,1,1,4.92,6.06,50,19.0012,0,31,31,1,6,1,4.92
216,4,0,1,1,4.92,6.06,50,15.0013,2,75,77,1,7,1,4.92
217,4,0,1,2,4.92,6.06,50,19.0012,4,184,188,1,8,1,4.92
218,4,0,1,2,5.74,6.06,50,16.9979,2,92,94,1,9,1,5.74
219,4,0,1,2,5.74,6.06,50,19.9995,0,31,31,1,10,1,5.74
220,4,0,1,2,6.56,6.82,47,19.0012,2,28,30,1,11,1,6.56
221,4,0,1,2,8.2,9.09,40,19.0012,5,47,52,1,12,1,8.2
222,4,0,1,2,8.2,9.09,40,19.0012,4,50,54,1,13,1,8.2
223,4,0,1,2,8.2,9.85,40,15.0013,0,47,47,1,14,1,8.2
224,4,0,1,2,8.2,9.85,40,15.0013,2,43,45,1,15,1,8.2
225,4,0,1,1,8.2,10.605,40,8.9981,4,70,74,1,16,1,8.2
226,4,0,1,1,8.2,11.365,40,7.0015,4,174,178,1,17,1,8.2
227,4,0,1,1,8.2,9.85,40,15.0013,1,154,155,1,18,1,8.2
228,4,0,1,1,6.56,8.335,47,11.0014,3,92,95,1,19,1,6.56
229,4,0,1,1,6.56,8.335,50,11.0014,1,73,74,1,20,1,6.56
230,4,0,1,1,5.74,6.82,59,12.998,1,37,38,1,21,1,5.74
231,4,0,1,1,5.74,7.575,59,11.0014,2,22,24,1,22,1,5.74
232,4,0,1,1,5.74,7.575,59,11.0014,0,18,18,1,23,1,5.74
233,4,0,1,1,5.74,8.335,59,7.0015,2,10,12,1,0,2,5.74
234,4,0,1,1,5.74,7.575,59,11.0014,0,3,3,1,1,2,5.74
235,4,0,1,2,6.56,7.575,55,12.998,0,3,3,1,2,2,6.56
236,4,0,1,2,6.56,9.09,55,8.9981,0,6,6,1,5,2,6.56
237,4,0,1,2,6.56,9.09,55,8.9981,0,27,27,1,6,2,6.56
238,4,0,1,2,6.56,11.365,55,0.0,2,97,99,1,7,2,6.56
239,4,0,1,2,7.38,10.605,51,6.0032,3,214,217,1,8,2,7.38
240,4,0,1,2,7.38,9.85,51,11.0014,3,127,130,1,9,2,7.38
241,4,0,1,2,8.2,10.605,51,11.0014,3,51,54,1,10,2,8.2
242,4,0,1,2,8.2,10.605,47,8.9981,4,31,35,1,11,2,8.2
243,4,0,1,2,8.2,11.365,51,7.0015,2,55,57,1,12,2,8.2
244,4,0,1,2,8.2,11.365,59,6.0032,6,46,52,1,13,2,8.2
245,4,0,1,2,8.2,11.365,59,6.0032,3,60,63,1,14,2,8.2
246,4,0,1,2,6.56,9.85,80,6.0032,2,45,47,1,15,2,6.56
247,4,0,1,2,6.56,7.575,86,15.0013,4,72,76,1,16,2,6.56
248,4,0,1,2,6.56,7.575,86,15.0013,6,130,136,1,17,2,6.56
249,4,0,1,3,6.56,9.09,93,7.0015,1,94,95,1,18,2,6.56
250,4,0,1,3,6.56,11.365,93,0.0,0,51,51,1,19,2,6.56
251,4,0,1,3,6.56,7.575,93,12.998,0,32,32,1,20,2,6.56
252,4,0,1,3,6.56,9.85,86,6.0032,0,20,20,1,21,2,6.56
253,4,0,1,3,6.56,9.09,93,7.0015,1,28,29,1,22,2,6.56
254,4,0,1,3,6.56,9.85,93,6.0032,1,18,19,1,23,2,6.56
255,4,0,1,2,6.56,9.85,86,6.0032,0,7,7,1,0,3,6.56
256,4,0,1,2,6.56,9.09,86,7.0015,0,6,6,1,1,3,6.56
257,4,0,1,1,5.74,7.575,86,8.9981,0,1,1,1,2,3,5.74
258,4,0,1,1,5.74,7.575,86,11.0014,0,5,5,1,5,3,5.74
259,4,0,1,1,4.92,7.575,93,8.9981,0,16,16,1,6,3,4.92
260,4,0,1,1,5.74,7.575,69,8.9981,0,54,54,1,7,3,5.74
261,4,0,1,1,6.56,8.335,59,11.0014,3,125,128,1,8,3,6.56
262,4,0,1,1,6.56,6.82,59,22.0028,3,78,81,1,9,3,6.56
263,4,0,1,1,7.38,9.09,55,15.0013,0,39,39,1,10,3,7.38
264,4,0,1,1,8.2,9.09,51,26.0027,3,32,35,1,11,3,8.2
265,4,0,1,1,8.2,7.575,47,39.0007,3,52,55,1,12,3,8.2
266,4,0,1,1,9.02,9.85,44,23.9994,0,49,49,1,13,3,9.02
267,4,0,1,1,8.2,9.09,47,22.0028,0,44,44,1,14,3,8.2
268,4,0,1,1,8.2,8.335,47,27.9993,1,48,49,1,15,3,8.2
269,4,0,1,1,9.02,9.85,44,22.0028,5,63,68,1,16,3,9.02
270,4,0,1,1,8.2,9.09,47,23.9994,0,139,139,1,17,3,8.2
271,4,0,1,1,8.2,7.575,47,35.0008,2,135,137,1,18,3,8.2
272,4,0,1,1,7.38,7.575,47,27.9993,1,82,83,1,19,3,7.38
273,4,0,1,1,6.56,6.82,50,22.0028,2,54,56,1,20,3,6.56
274,4,0,1,1,6.56,6.82,55,22.0028,0,57,57,1,21,3,6.56
275,4,0,1,1,6.56,6.06,55,30.0026,1,32,33,1,22,3,6.56
276,4,0,1,1,5.74,5.305,59,27.9993,1,19,20,1,23,3,5.74
277,4,0,1,1,5.74,6.06,59,19.0012,1,6,7,1,0,4,5.74
278,4,0,1,1,5.74,6.06,50,19.0012,0,2,2,1,1,4,5.74
279,4,0,1,1,5.74,6.06,50,23.9994,0,2,2,1,2,4,5.74
280,4,0,1,1,5.74,6.06,50,22.0028,0,3,3,1,3,4,5.74
281,4,0,1,1,5.74,6.06,50,16.9979,0,4,4,1,4,4,5.74
282,4,0,1,1,5.74,6.06,50,19.9995,0,3,3,1,5,4,5.74
283,4,0,1,1,4.92,7.575,54,8.9981,0,28,28,1,6,4,4.92
284,4,0,1,1,4.92,7.575,54,8.9981,0,72,72,1,7,4,4.92
285,4,0,1,1,5.74,6.82,50,12.998,5,197,202,1,8,4,5.74
286,4,0,1,1,5.74,6.06,50,22.0028,2,137,139,1,9,4,5.74
287,4,0,1,2,6.56,6.82,50,23.9994,2,36,38,1,10,4,6.56
288,4,0,1,2,8.2,8.335,44,30.0026,4,33,37,1,11,4,8.2
289,4,0,1,1,8.2,8.335,44,27.9993,3,49,52,1,12,4,8.2
290,4,0,1,1,9.02,9.85,41,30.0026,2,81,83,1,13,4,9.02
291,4,0,1,1,9.02,9.85,41,26.0027,3,39,42,1,14,4,9.02
292,4,0,1,1,9.84,10.605,38,19.9995,5,55,60,1,15,4,9.84
293,4,0,1,1,9.84,10.605,38,23.9994,2,76,78,1,16,4,9.84
294,4,0,1,1,8.2,9.09,40,19.0012,4,158,162,1,17,4,8.2
295,4,0,1,1,8.2,9.09,40,22.0028,3,141,144,1,18,4,8.2
296,4,0,1,1,6.56,7.575,47,16.9979,1,98,99,1,19,4,6.56
297,4,0,1,1,6.56,7.575,47,15.0013,0,64,64,1,20,4,6.56
298,4,0,1,1,5.74,6.06,46,19.9995,0,40,40,1,21,4,5.74
299,4,0,1,1,5.74,6.06,46,22.0028,0,30,30,1,22,4,5.74
300,4,0,1,1,4.92,6.82,50,12.998,1,14,15,1,23,4,4.92
301,4,0,1,1,4.92,6.82,50,12.998,0,14,14,1,0,5,4.92
302,4,0,1,1,4.1,6.06,54,11.0014,0,5,5,1,1,5,4.1
303,4,0,1,1,4.1,6.06,54,8.9981,0,1,1,1,2,5,4.1
304,4,0,1,1,4.1,6.82,54,7.0015,0,1,1,1,3,5,4.1
305,4,0,1,1,4.1,6.82,54,6.0032,0,8,8,1,5,5,4.1
306,4,0,1,1,4.1,9.09,54,0.0,0,17,17,1,6,5,4.1
307,4,0,1,1,4.1,6.06,74,11.0014,0,70,70,1,7,5,4.1
308,4,0,1,1,4.92,8.335,68,0.0,2,156,158,1,8,5,4.92
309,4,0,1,1,5.74,7.575,69,8.9981,0,117,117,1,9,5,5.74
310,4,0,1,1,7.38,9.09,55,12.998,4,40,44,1,10,5,7.38
311,4,0,1,1,7.38,8.335,51,19.0012,6,47,53,1,11,5,7.38
312,4,0,1,1,8.2,9.85,44,16.9979,2,59,61,1,12,5,8.2
313,4,0,1,1,9.02,9.85,37,26.0027,4,73,77,1,13,5,9.02
314,4,0,1,1,9.02,10.605,41,19.0012,5,59,64,1,14,5,9.02
315,4,0,1,1,9.84,12.12,38,11.0014,9,59,68,1,15,5,9.84
316,4,0,1,1,9.02,12.12,41,7.0015,3,87,90,1,16,5,9.02
317,4,0,1,1,9.02,11.365,41,11.0014,4,155,159,1,17,5,9.02
318,4,0,1,1,8.2,12.88,47,0.0,5,134,139,1,18,5,8.2
319,4,0,1,1,6.56,9.85,59,6.0032,3,89,92,1,19,5,6.56
320,4,0,1,1,7.38,12.12,59,0.0,0,68,68,1,20,5,7.38
321,4,0,1,1,6.56,11.365,69,0.0,4,48,52,1,21,5,6.56
322,4,0,1,2,6.56,11.365,69,0.0,2,34,36,1,22,5,6.56
323,4,0,1,2,7.38,12.12,55,0.0,1,26,27,1,23,5,7.38
324,4,0,0,1,7.38,12.12,55,0.0,3,25,28,1,0,6,7.38
325,4,0,0,2,6.56,9.85,59,6.0032,2,18,20,1,1,6,6.56
326,4,0,0,2,6.56,9.85,59,6.0032,0,12,12,1,2,6,6.56
327,4,0,0,2,6.56,11.365,59,0.0,1,7,8,1,3,6,6.56
328,4,0,0,2,6.56,11.365,59,0.0,0,5,5,1,4,6,6.56
329,4,0,0,1,6.56,11.365,59,0.0,0,1,1,1,5,6,6.56
330,4,0,0,1,5.74,8.335,63,7.0015,1,2,3,1,6,6,5.74
331,4,0,0,1,5.74,10.605,63,0.0,1,9,10,1,7,6,5.74
332,4,0,0,1,5.74,7.575,63,8.9981,1,22,23,1,8,6,5.74
333,4,0,0,1,6.56,9.09,64,8.9981,2,31,33,1,9,6,6.56
334,4,0,0,1,7.38,9.85,59,11.0014,2,57,59,1,10,6,7.38
335,4,0,0,1,8.2,9.85,55,15.0013,18,54,72,1,11,6,8.2
336,4,0,0,1,9.84,11.365,48,15.0013,15,74,89,1,12,6,9.84
337,4,0,0,1,11.48,12.88,38,19.9995,21,80,101,1,13,6,11.48
338,4,0,0,1,12.3,14.395,39,19.0012,26,92,118,1,14,6,12.3
339,4,0,0,2,13.12,15.91,36,12.998,21,108,129,1,15,6,13.12
